MES_code,MES_name,Sector_code,Sector_name,Industry_code,Industry_name,basic_industry_code,basic_industry_name
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101002,Specialty Chemicals
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101003,Carbon Black
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101004,Dyes And Pigments
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101005,Explosives
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101006,Petrochemicals
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101007,Printing Inks
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101008,Trading - Chemicals
IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101009,Industrial Gases
IN01,Commodities,IN0101,Chemicals,IN010102,Fertilizers & Agrochemicals,IN010102001,Fertilizers
IN01,Commodities,IN0101,Chemicals,IN010102,Fertilizers & Agrochemicals,IN010102002,Pesticides & Agrochemicals
IN01,Commodities,IN0102,Construction Materials,IN010203,Cement & Cement Products,IN010203001,Cement & Cement Products
IN01,Commodities,IN0102,Construction Materials,IN010204,Other Construction Materials,IN010204001,Other Construction Materials
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301001,Ferro & Silica Manganese
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301002,Pig Iron
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301003,Sponge Iron
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301004,Iron & Steel
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302001,Aluminium
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302002,Copper
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302003,Zinc
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302004,Precious Metals
IN01,Commodities,IN0103,Metals & Mining,IN010303,Diversified Metals,IN010303001,Diversified Metals
IN01,Commodities,IN0103,Metals & Mining,IN010304,Minerals & Mining,IN010304001,Industrial Minerals
IN01,Commodities,IN0103,Metals & Mining,IN010305,Metals & Minerals Trading,IN010305001,Trading - Metals
IN01,Commodities,IN0103,Metals & Mining,IN010305,Metals & Minerals Trading,IN010305002,Trading - Minerals
IN01,Commodities,IN0104,Forest Materials,IN010401,"Paper, Forest & Jute Products",IN010401001,Paper & Paper Products
IN01,Commodities,IN0104,Forest Materials,IN010401,"Paper, Forest & Jute Products",IN010401002,Forest Products
IN01,Commodities,IN0104,Forest Materials,IN010401,"Paper, Forest & Jute Products",IN010401003,Jute & Jute Products
IN02,Consumer Discretionary,IN0201,Automobile and Auto Components,IN020101,Automobiles,IN020101001,Passenger Cars & Utility Vehicles
IN02,Consumer Discretionary,IN0201,Automobile and Auto Components,IN020101,Automobiles,IN020101002,2/3 Wheelers
IN02,Consumer Discretionary,IN0201,Automobile and Auto Components,IN020101,Automobiles,IN020101004,Auto Dealer
IN02,Consumer Discretionary,IN0201,Automobile and Auto Components,IN020102,Auto Components,IN020102001,Auto Components & Equipments
IN02,Consumer Discretionary,IN0201,Automobile and Auto Components,IN020102,Auto Components,IN020102006,Tyres & Rubber Products
IN02,Consumer Discretionary,IN0201,Automobile and Auto Components,IN020102,Auto Components,IN020102007,Trading - Auto Components
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201002,Cycles
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201003,Consumer Electronics
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201018,"Furniture, Home Furnishing"
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201019,Ceramics
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201020,Granites & Marbles
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201005,"Gems, Jewellery And Watches"
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201006,Glass - Consumer
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201007,Household Appliances
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201008,Houseware
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201009,Leather And Leather Products
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201010,Leisure Products
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201011,Plastic Products - Consumer
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201012,Plywood Boards/ Laminates
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201013,Sanitary Ware
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201015,Paints
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201016,Diversified consumer products
IN02,Consumer Discretionary,IN0202,Consumer Durables,IN020201,Consumer Durables,IN020201017,Footwear
IN02,Consumer Discretionary,IN0203,Textiles,IN020301,Textiles & Apparels,IN020301001,Garments & Apparels
IN02,Consumer Discretionary,IN0203,Textiles,IN020301,Textiles & Apparels,IN020301002,Other Textile Products
IN02,Consumer Discretionary,IN0203,Textiles,IN020301,Textiles & Apparels,IN020301003,Trading - Textile Products
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020401,Media,IN020401001,Advertising & Media Agencies
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020401,Media,IN020401002,Electronic Media
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020401,Media,IN020401003,Web based media and service
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020401,Media,IN020401004,Print Media
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020402,Entertainment,IN020402001,"Film Production, Distribution & Exhibition"
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020402,Entertainment,IN020402002,Digital Entertainment
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020402,Entertainment,IN020402003,Media & Entertainment
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020402,Entertainment,IN020402004,TV Broadcasting & Software Production
IN02,Consumer Discretionary,IN0204,"Media, Entertainment & Publication",IN020403,Printing & Publication,IN020403001,Printing & Publication
IN02,Consumer Discretionary,IN0205,Realty,IN020501,Realty,IN020501001,"Residential, Commercial Projects"
IN02,Consumer Discretionary,IN0205,Realty,IN020501,Realty,IN020501002,Real Estate related services
IN02,Consumer Discretionary,IN0205,Realty,IN020501,Realty,IN020501003,Real Estate Investment Trusts (REITs)
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020601,Leisure Services,IN020601001,Hotels & Resorts
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020601,Leisure Services,IN020601002,Restaurants
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020601,Leisure Services,IN020601003,Amusement Parks/ Other Recreation
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020601,Leisure Services,IN020601004,Wellness
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020601,Leisure Services,IN020601005,"Tour, Travel Related Services"
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020602,Other Consumer Services,IN020602001,Education
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020602,Other Consumer Services,IN020602002,E-Learning
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020602,Other Consumer Services,IN020602003,Food Storage Facilities
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020602,Other Consumer Services,IN020602004,Other Consumer Services
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020603,Retailing,IN020603001,Speciality Retail
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020603,Retailing,IN020603002,Pharmacy Retail
IN02,Consumer Discretionary,IN0206,Consumer Services,IN020603,Retailing,IN020603003,Diversified Retail
