reason,company,symbol,url,basic_industry
BSE stock (numeric symbol),Tanfac Inds.,506854,/company/506854/,Commodity Chemicals
BSE stock (numeric symbol),Blue Pearl Agri,514440,/company/514440/,Commodity Chemicals
BSE stock (numeric symbol),Citurgia Biochem,506373,/company/506373/,Commodity Chemicals
BSE stock (numeric symbol),TGV Sraac,507753,/company/507753/,Commodity Chemicals
BSE stock (numeric symbol),Tuticorin Alkali,506808,/company/506808/,Commodity Chemicals
BSE stock (numeric symbol),POCL Enterprises,539195,/company/539195/,Commodity Chemicals
BSE stock (numeric symbol),Transpek Inds.,506687,/company/506687/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Vikram Thermo,530477,/company/530477/,Commodity Chemicals
BSE stock (numeric symbol),Alufluoride,524634,/company/524634/,Commodity Chemicals
BSE stock (numeric symbol),Andhra Petrochem,500012,/company/500012/,Commodity Chemicals
BSE stock (numeric symbol),National Perox.,544205,/company/544205/,Commodity Chemicals
BSE stock (numeric symbol),Kesar Petroprod.,524174,/company/524174/,Commodity Chemicals
BSE stock (numeric symbol),ZR2 Bioenergy,506640,/company/506640/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Hind.Organ.Chem.,500449,/company/500449/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Kanchi Karpooram,538896,/company/538896/,Commodity Chemicals
BSE stock (numeric symbol),ARCL Organics,543993,/company/543993/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),AG Ventures,506579,/company/506579/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Gayatri BioOrga.,524564,/company/524564/,Commodity Chemicals
BSE stock (numeric symbol),Polychem,506605,/company/506605/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Archit Organosys,524640,/company/524640/,Commodity Chemicals
BSE stock (numeric symbol),Sh. Hari Chem.,524336,/company/524336/,Commodity Chemicals
BSE stock (numeric symbol),Ritesh Intl.,519097,/company/519097/,Commodity Chemicals
BSE stock (numeric symbol),Shreyas Interm.,526335,/company/526335/,Commodity Chemicals
BSE stock (numeric symbol),Standard Surfact,526231,/company/526231/,Commodity Chemicals
BSE stock (numeric symbol),TCM,524156,/company/524156/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Genus Prime,532425,/company/532425/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Caprolactam Chem,507486,/company/507486/,Commodity Chemicals
BSE stock (numeric symbol),Camex,524440,/company/524440/,Commodity Chemicals
BSE stock (numeric symbol),Haryana Leather,524080,/company/524080/,Commodity Chemicals
BSE stock (numeric symbol),Omkar Pharmachem,532167,/company/532167/,Commodity Chemicals
BSE stock (numeric symbol),Venlon Enterpris,524038,/company/524038/,Commodity Chemicals
BSE stock (numeric symbol),Shentracon Chem.,530757,/company/530757/,Commodity Chemicals
BSE stock (numeric symbol),Deco-Mica,531227,/company/531227/,Commodity Chemicals
BSE stock (numeric symbol),Pentokey Organy,524210,/company/524210/,Commodity Chemicals
BSE stock (numeric symbol),Sonal Adhesives,526901,/company/526901/,Commodity Chemicals
BSE stock (numeric symbol),Asian Petroprod.,524434,/company/524434/,Commodity Chemicals
BSE stock (numeric symbol),Vinyoflex,530401,/company/530401/,Commodity Chemicals
BSE stock (numeric symbol),Jayshree Chem.,506520,/company/506520/,Commodity Chemicals
BSE stock (numeric symbol),Vivid Global,524576,/company/524576/,Commodity Chemicals
BSE stock (numeric symbol),Square Four Pro.,526532,/company/526532/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Tulasee Bio-Eth.,524514,/company/524514/,Commodity Chemicals
BSE stock (numeric symbol),Sreechem Resins,514248,/company/514248/,Commodity Chemicals
BSE stock (numeric symbol),Alchemist Corp.,531409,/company/531409/consolidated/,Commodity Chemicals
BSE stock (numeric symbol),Emmessar Biotech,524768,/company/524768/,Commodity Chemicals
BSE stock (numeric symbol),Link Pharma Chem,524748,/company/524748/,Commodity Chemicals
BSE stock (numeric symbol),Advance Petroch.,506947,/company/506947/,Commodity Chemicals
BSE stock (numeric symbol),Bhagawati Oxygen,509449,/company/509449/,Commodity Chemicals
BSE stock (numeric symbol),Lime Chemicals,507759,/company/507759/,Commodity Chemicals
BSE stock (numeric symbol),Kuwer Industries,530421,/company/530421/,Commodity Chemicals
BSE stock (numeric symbol),Kobo Biotech,531541,/company/531541/,Commodity Chemicals
BSE stock (numeric symbol),Padmanabh Inds.,526905,/company/526905/,Commodity Chemicals
BSE stock (numeric symbol),Elantas Beck,500123,/company/500123/,Specialty Chemicals
BSE stock (numeric symbol),Indokem,504092,/company/504092/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Jyoti Resins,514448,/company/514448/,Specialty Chemicals
BSE stock (numeric symbol),Titan Biotech,524717,/company/524717/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Nitta Gelatin,506532,/company/506532/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Sunshield Chem.,530845,/company/530845/,Specialty Chemicals
BSE stock (numeric symbol),Sudarshan Pharma,543828,/company/543828/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Amal,506597,/company/506597/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Black Rose Indus,514183,/company/514183/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Vipul Organics,530627,/company/530627/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Nikhil Adhesives,526159,/company/526159/,Specialty Chemicals
BSE stock (numeric symbol),Indian Toners,523586,/company/523586/,Specialty Chemicals
BSE stock (numeric symbol),Bhatia Colour,543497,/company/543497/,Specialty Chemicals
BSE stock (numeric symbol),Multibase India,526169,/company/526169/,Specialty Chemicals
BSE stock (numeric symbol),India Gelatine,531253,/company/531253/,Specialty Chemicals
BSE stock (numeric symbol),Narmada Gelatine,526739,/company/526739/,Specialty Chemicals
BSE stock (numeric symbol),Cochin Minerals,513353,/company/513353/,Specialty Chemicals
BSE stock (numeric symbol),Dai-ichi Karkari,526821,/company/526821/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),AVI Polymers,539288,/company/539288/,Specialty Chemicals
BSE stock (numeric symbol),Jaysynth Orgo,524592,/company/524592/,Specialty Chemicals
BSE stock (numeric symbol),Patel Chem,544460,/company/544460/,Specialty Chemicals
BSE stock (numeric symbol),SK Minerals & Additives,544584,/company/544584/,Specialty Chemicals
BSE stock (numeric symbol),Chemcrux Enterp.,540395,/company/540395/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Polson,507645,/company/507645/,Specialty Chemicals
BSE stock (numeric symbol),Resonance Speci.,524218,/company/524218/,Specialty Chemicals
BSE stock (numeric symbol),Deepak Chemtex,544036,/company/544036/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Deep Polymers,541778,/company/541778/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Technichem Org.,544327,/company/544327/,Specialty Chemicals
BSE stock (numeric symbol),Mehul Colours,544472,/company/544472/,Specialty Chemicals
BSE stock (numeric symbol),Kemistar Corp.,531163,/company/531163/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),Eiko Lifescience,540204,/company/540204/consolidated/,Specialty Chemicals
BSE stock (numeric symbol),KKalpana Inds.,526409,/company/526409/,Specialty Chemicals
BSE stock (numeric symbol),Shlokka Dyes,544582,/company/544582/,Specialty Chemicals
BSE stock (numeric symbol),Hardcast.& Waud,509597,/company/509597/,Specialty Chemicals
BSE stock (numeric symbol),Dynamic Industri,524818,/company/524818/,Specialty Chemicals
BSE stock (numeric symbol),Crestchem,526269,/company/526269/,Specialty Chemicals
BSE stock (numeric symbol),Daikaffil Chem,530825,/company/530825/,Specialty Chemicals
BSE stock (numeric symbol),Yug Decor,540550,/company/540550/,Specialty Chemicals
BSE stock (numeric symbol),Machhar Industri,543934,/company/543934/,Specialty Chemicals
BSE stock (numeric symbol),Vikram Aroma,544371,/company/544371/,Specialty Chemicals
BSE stock (numeric symbol),Organic Coatings,531157,/company/531157/,Specialty Chemicals
BSE stock (numeric symbol),Indo Euro Indch.,524458,/company/524458/,Specialty Chemicals
BSE stock (numeric symbol),Chemiesynth(Vapi,539230,/company/539230/,Specialty Chemicals
BSE stock (numeric symbol),Standard Shoe,523351,/company/523351/,Specialty Chemicals
BSE stock (numeric symbol),Pratiksha Chem.,531257,/company/531257/,Specialty Chemicals
BSE stock (numeric symbol),C J Gelatine,507515,/company/507515/,Specialty Chemicals
BSE stock (numeric symbol),Unitech Internat,531867,/company/531867/,Specialty Chemicals
BSE stock (numeric symbol),Indo Gulf Inds.,506945,/company/506945/,Specialty Chemicals
BSE stock (numeric symbol),Ultramarine Pig.,506685,/company/506685/consolidated/,Dyes And Pigments
BSE stock (numeric symbol),Keltech Energies,506528,/company/506528/,Explosives
BSE stock (numeric symbol),Beezaasan Exp.,544369,/company/544369/,Explosives
BSE stock (numeric symbol),Indian Acrylics,514165,/company/514165/,Petrochemicals
BSE stock (numeric symbol),Nexxus Petro,544265,/company/544265/,Petrochemicals
BSE stock (numeric symbol),Polylink Poly.,531454,/company/531454/,Petrochemicals
BSE stock (numeric symbol),Guj. Petrosynth.,506858,/company/506858/,Petrochemicals
BSE stock (numeric symbol),Aadi Industries,530027,/company/530027/,Petrochemicals
BSE stock (numeric symbol),A-1,542012,/company/542012/,Trading - Chemicals
BSE stock (numeric symbol),Bhavik Enterpris,544551,/company/544551/,Trading - Chemicals
BSE stock (numeric symbol),Evexia Lifecare,524444,/company/524444/consolidated/,Trading - Chemicals
BSE stock (numeric symbol),Shiv Texchem,544272,/company/544272/,Trading - Chemicals
BSE stock (numeric symbol),Mysore Petro,506734,/company/506734/consolidated/,Trading - Chemicals
BSE stock (numeric symbol),Yash Chemex,539939,/company/539939/consolidated/,Trading - Chemicals
BSE stock (numeric symbol),Laffans Petroch,524522,/company/524522/,Trading - Chemicals
BSE stock (numeric symbol),Citichem India,544324,/company/544324/,Trading - Chemicals
BSE stock (numeric symbol),CHD Chemicals,539800,/company/539800/,Trading - Chemicals
BSE stock (numeric symbol),Patron Exim,543798,/company/543798/,Trading - Chemicals
BSE stock (numeric symbol),Hilltone Softwar,544308,/company/544308/,Industrial Gases
BSE stock (numeric symbol),Natl. Oxygen,507813,/company/507813/,Industrial Gases
BSE stock (numeric symbol),Gagan Gases,524624,/company/524624/,Industrial Gases
BSE stock (numeric symbol),Bhagawati Gas,500051,/company/500051/,Industrial Gases
BSE stock (numeric symbol),Kothari Indl,509732,/company/509732/consolidated/,Fertilizers
BSE stock (numeric symbol),Bharat Agri Fert,531862,/company/531862/,Fertilizers
BSE stock (numeric symbol),Basant Agro Tech,524687,/company/524687/,Fertilizers
BSE stock (numeric symbol),Teesta Agro Ind.,524204,/company/524204/,Fertilizers
BSE stock (numeric symbol),Phosphate Co,542123,/company/542123/,Fertilizers
BSE stock (numeric symbol),Shiva Global,530433,/company/530433/consolidated/,Fertilizers
BSE stock (numeric symbol),M P Agro Inds.,506543,/company/506543/,Fertilizers
BSE stock (numeric symbol),Mahamaya Lifesc.,544611,/company/544611/consolidated/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Bhaskar Agrochem,524534,/company/524534/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Aimco Pesticides,524288,/company/524288/consolidated/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Super Crop Safe,530883,/company/530883/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Adarsh Plant,526711,/company/526711/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Phyto Chem (I),524808,/company/524808/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Natural Biocon,543207,/company/543207/,Pesticides & Agrochemicals
BSE stock (numeric symbol),Shiva Cement,532323,/company/532323/,Cement & Cement Products
BSE stock (numeric symbol),Shri Keshav,530977,/company/530977/,Cement & Cement Products
BSE stock (numeric symbol),Kanoria Energy,539620,/company/539620/,Cement & Cement Products
BSE stock (numeric symbol),Panyam Cement,500322,/company/500322/,Cement & Cement Products
BSE stock (numeric symbol),Keerthi Indus,518011,/company/518011/,Cement & Cement Products
BSE stock (numeric symbol),Sri Chakra Cem.,518053,/company/518053/,Cement & Cement Products
BSE stock (numeric symbol),Sainik Finance,530265,/company/530265/,Cement & Cement Products
BSE stock (numeric symbol),Scan Projects,531797,/company/531797/,Cement & Cement Products
BSE stock (numeric symbol),Vardhman Concr.,531444,/company/531444/,Cement & Cement Products
BSE stock (numeric symbol),Vaishno Cement,526941,/company/526941/,Cement & Cement Products
BSE stock (numeric symbol),Midwest Gold,526570,/company/526570/consolidated/,Other Construction Materials
BSE stock (numeric symbol),Marble City,531281,/company/531281/consolidated/,Other Construction Materials
BSE stock (numeric symbol),Nidhi Granites,512103,/company/512103/consolidated/,Other Construction Materials
BSE stock (numeric symbol),Glittek Granites,513528,/company/513528/,Other Construction Materials
BSE stock (numeric symbol),Divyashakti,526315,/company/526315/,Other Construction Materials
BSE stock (numeric symbol),Lerthai Finance,502250,/company/502250/,Other Construction Materials
BSE stock (numeric symbol),Ravi Leela Gran,526095,/company/526095/,Other Construction Materials
BSE stock (numeric symbol),Associated Cera.,531168,/company/531168/,Other Construction Materials
BSE stock (numeric symbol),Jai Mata Glass,523467,/company/523467/,Other Construction Materials
BSE stock (numeric symbol),Inani Marbles,531129,/company/531129/,Other Construction Materials
BSE stock (numeric symbol),Shiva Granito,540072,/company/540072/,Other Construction Materials
BSE stock (numeric symbol),Solid Stone Co,513699,/company/513699/consolidated/,Other Construction Materials
