macro_sector_name,sector_name,industry_name,basic_industry_name,company,symbol,market_cap
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,SRF,SRF,75969.27
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Tata Chemicals,TATACHEM,18272.65
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Deepak Fertilis.,DEEPAKFERT,12563.22
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,G N F C,GNFC,6683.60
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,GHCL,GHCL,4425.18
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Chemplast Sanmar,CHEMPLASTS,3815.53
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Gujarat Alkalies,GUJALKALI,3505.30
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Grauer & Weil,GRAUWEIL,2856.50
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Thirumalai Chem.,TIRUMALCHM,2306.58
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,J.G.Chemicals,JGCHEM,1415.93
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,I G Petrochems,IGPL,1110.46
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Andhra Sugars,ANDHRSUGAR,1002.48
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Amines & Plast.,AMNPLST,850.10
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Sr.Rayala.Hypo,SRHHYPOLTD,813.10
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Indo Borax & Ch.,INDOBORAX,786.63
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Sadhana Nitro,SADHNANIQ,581.37
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Chemfab Alka.,CHEMFAB,556.01
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,OCCL,OCCLLTD,449.60
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Primo Chemicals,PRIMO,449.25
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Lords Chloro,LORDSCHLO,366.65
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Mangalam Organic,MANORG,353.46
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Jocil,JOCIL,118.56
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Hind.Fluoro Carb,id,33.95
Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,TECIL Chemical,TECILCHEM,27.21
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Pidilite Inds.,PIDILITIND,151761.51
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Gujarat Fluoroch,FLUOROCHEM,38363.52
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Navin Fluo.Intl.,NAVINFLUOR,32076.64
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Deepak Nitrite,DEEPAKNTR,21511.59
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Atul,ATUL,19577.47
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Aarti Industries,AARTIIND,16235.01
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Vinati Organics,VINATIORGA,15284.84
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,BASF India,BASF,14982.54
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Fine Organic,FINEORG,14447.29
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Anupam Rasayan,ANURAS,14066.20
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Aether Industri.,AETHER,12657.56
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Privi Speci.,PRIVISCL,11862.85
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Jubilant Ingrev.,JUBLINGREA,9339.45
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Clean Science,CLEAN,7811.37
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Alkyl Amines,ALKYLAMINE,7617.38
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Archean Chemical,ACI,7065.67
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Galaxy Surfact.,GALAXYSURF,6915.16
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Foseco India,FOSECOIND,4004.27
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Neogen Chemicals,NEOGEN,3881.46
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Epigral,EPIGRAL,3874.19
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Balaji Amines,BALAMINES,3522.65
Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Laxmi Organic,LXCHEM,3491.35
